brand,price_kUSD,common
Toyota,22.49,9.29
Toyota,34.01,7.98
Toyota,29.64,8.57
Toyota,26.97,8.01
Toyota,18.12,9.6
Toyota,18.12,9.83
Toyota,16.16,10.0
Toyota,32.32,8.06
Toyota,27.02,8.47
Toyota,29.16,8.38
Toyota,15.41,10.0
Toyota,34.4,8.19
Toyota,31.65,8.12
Toyota,19.25,9.78
Toyota,18.64,9.68
Toyota,18.67,10.0
Toyota,21.08,9.11
Toyota,25.5,8.82
Toyota,23.64,8.98
Toyota,20.82,8.83
Toyota,27.24,8.89
Toyota,17.79,9.83
Toyota,20.84,9.42
Toyota,22.33,9.17
Toyota,24.12,8.52
Toyota,30.7,8.26
Toyota,18.99,9.46
Toyota,25.28,8.65
Toyota,26.85,8.75
Toyota,15.93,10.0
Toyota,27.15,9.54
Toyota,18.41,9.73
Toyota,16.3,9.97
Toyota,33.98,8.07
Toyota,34.31,7.3
Toyota,31.17,8.37
Toyota,21.09,9.41
Toyota,16.95,10.0
Toyota,28.68,8.55
Toyota,23.8,9.24
Toyota,17.44,9.74
Toyota,24.9,8.54
Toyota,15.69,10.0
Toyota,33.19,8.48
Toyota,20.18,9.8
Toyota,28.25,8.31
Toyota,21.23,9.94
Toyota,25.4,8.4
Toyota,25.93,9.14
Toyota,18.7,10.0
Toyota,34.39,7.66
Toyota,30.5,8.22
Toyota,33.79,8.16
Toyota,32.9,8.01
Toyota,26.96,8.18
Toyota,33.44,8.18
Toyota,16.77,9.4
Toyota,18.92,9.8
Toyota,15.9,9.54
Toyota,21.51,9.97
Toyota,22.77,8.91
Toyota,20.43,9.33
Toyota,31.57,8.67
Toyota,22.14,8.79
Toyota,20.62,9.53
Toyota,25.85,9.44
Toyota,17.82,9.08
Toyota,31.04,8.47
Toyota,16.49,9.95
Toyota,34.74,8.34
Toyota,30.44,7.96
Toyota,18.97,9.07
Toyota,15.11,10.0
Toyota,31.31,8.49
Toyota,29.14,8.69
Toyota,29.58,8.68
Toyota,30.43,8.19
Toyota,16.48,9.94
Toyota,22.17,9.4
Toyota,17.32,9.48
Toyota,32.26,9.02
Toyota,27.47,8.94
Toyota,21.62,8.86
Toyota,16.27,10.0
Toyota,21.22,8.99
Toyota,21.5,9.66
Toyota,29.59,9.0
Toyota,27.75,8.4
Toyota,32.74,8.61
Toyota,24.44,9.22
Toyota,17.39,10.0
Toyota,29.26,9.33
Toyota,30.22,8.38
Toyota,26.23,8.58
Toyota,30.42,8.1
Toyota,24.88,8.69
Toyota,25.45,8.92
Toyota,23.55,9.28
Toyota,15.51,10.0
Toyota,17.16,10.0
Honda,35.49,8.02
Honda,29.06,7.96
Honda,30.69,8.24
Honda,28.84,8.58
Honda,22.3,8.64
Honda,33.89,7.67
Honda,24.18,7.5
Honda,18.53,9.03
Honda,32.2,7.79
Honda,21.9,8.56
Honda,38.69,7.8
Honda,38.99,6.54
Honda,38.13,7.04
Honda,26.14,8.63
Honda,18.34,10.0
Honda,38.42,6.6
Honda,27.42,8.89
Honda,39.27,7.09
Honda,39.2,6.7
Honda,36.77,7.55
Honda,24.48,8.84
Honda,26.47,8.3
Honda,36.73,7.4
Honda,24.97,8.55
Honda,21.73,9.12
Honda,30.25,8.37
Honda,38.6,7.79
Honda,33.31,7.26
Honda,30.54,8.93
Honda,20.14,8.48
Honda,31.53,7.9
Honda,39.78,7.26
Honda,21.08,9.26
Honda,29.4,7.96
Honda,37.3,7.22
Honda,34.3,7.45
Honda,33.33,7.52
Honda,33.45,8.08
Honda,25.91,8.74
Honda,24.46,8.49
Honda,35.81,7.84
Honda,35.82,7.6
Honda,37.08,7.66
Honda,38.09,7.47
Honda,29.25,7.89
Honda,29.03,8.02
Honda,35.56,7.8
Honda,32.3,8.12
Honda,33.44,7.74
Honda,35.51,7.56
Honda,37.58,7.79
Honda,25.44,8.42
Honda,26.26,8.78
Honda,20.07,9.18
Honda,30.72,7.97
Honda,18.79,9.85
Honda,28.24,8.67
Honda,29.94,8.47
Honda,24.3,9.31
Honda,31.0,8.03
Honda,18.67,9.7
Honda,18.82,9.28
Honda,36.1,7.57
Honda,25.92,8.55
Honda,20.8,9.22
Honda,29.49,8.43
